Nombre,Divisa,Fecha,Abrir,Máx.,Mín.,Cierre*,Cierre ajus.**,Volumen,Dividendo
Toyota Motor Corporation (TM.BA),ARS,01 nov 2023,"32.223,00","33.430,00","30.000,50","32.916,50","32.916,50",2245,-
Toyota Motor Corporation (TM.BA),ARS,01 oct 2023,"29.600,00","36.100,00","26.697,50","31.000,00","31.000,00",13.415,-
Toyota Motor Corporation (TM.BA),ARS,01 sept 2023,"27.206,50","30.200,00","25.922,00","29.585,50","29.585,50",10.090,-
Toyota Motor Corporation (TM.BA),ARS,01 ago 2023,"19.253,00","27.851,00","18.991,00","26.892,00","26.892,00",9572,-
Toyota Motor Corporation (TM.BA),ARS,01 jul 2023,"16.470,00","18.900,00","15.750,00","18.900,00","18.900,00",5249,-
Toyota Motor Corporation (TM.BA),ARS,01 jun 2023,"13.661,50","17.092,50","13.661,50","16.547,50","16.547,50",5957,-
Toyota Motor Corporation (TM.BA),ARS,01 may 2023,"12.458,00","14.499,50","12.081,50","13.283,00","13.283,00",5078,-
Toyota Motor Corporation (TM.BA),ARS,01 abr 2023,"11.647,00","13.000,00","10.852,00","12.458,00","12.458,00",48.786,-
Toyota Motor Corporation (TM.BA),ARS,01 mar 2023,"10.045,00","11.538,50","9992,50","11.538,50","11.538,50",5228,-
Toyota Motor Corporation (TM.BA),ARS,01 feb 2023,"10.822,50","10.962,50","9938,00","9990,00","9990,00",30.596,-
Toyota Motor Corporation (TM.BA),ARS,01 ene 2023,"9200,00","11.006,00","9000,00","10.815,00","10.815,00",3245,-
Toyota Motor Corporation (TM.BA),ARS,01 dic 2022,"9549,50","9803,00","8960,00","9292,50","9292,50",3384,-
Toyota Motor Corporation (TM.BA),ARS,01 nov 2022,"8400,00","10.000,00","7900,00","9506,00","9506,00",2332,-
Toyota Motor Corporation (TM.BA),ARS,01 oct 2022,"8308,00","8686,50","8023,50","8428,00","8428,00",3491,-
Toyota Motor Corporation (TM.BA),ARS,29 sept 2022,-,-,-,-,-,-,0.352414 Dividendo
Toyota Motor Corporation (TM.BA),ARS,01 sept 2022,"8720,00","9000,00","7866,00","8052,00","8051,66",4246,-
Toyota Motor Corporation (TM.BA),ARS,01 ago 2022,"9480,00","9750,00","8748,00","8850,50","8850,13",8105,-
Toyota Motor Corporation (TM.BA),ARS,01 jul 2022,"7790,00","10.959,50","7770,00","9421,50","9421,10",21.610,-
Toyota Motor Corporation (TM.BA),ARS,01 jun 2022,"7192,50","8050,00","6840,00","7849,00","7848,67",2706,-
Toyota Motor Corporation (TM.BA),ARS,01 may 2022,"7139,00","7297,00","6496,50","7001,50","7001,21",3854,-
Toyota Motor Corporation (TM.BA),ARS,01 abr 2022,"6950,00","7258,00","6302,00","7080,00","7079,70",53.777,-
Toyota Motor Corporation (TM.BA),ARS,30 mar 2022,-,-,-,-,-,-,0.440551 Dividendo
Toyota Motor Corporation (TM.BA),ARS,01 mar 2022,"7400,00","7400,00","6017,00","6942,50","6941,78",3391,-
Toyota Motor Corporation (TM.BA),ARS,01 feb 2022,"8500,00","8931,50","7050,00","7400,00","7399,23",4074,-
Toyota Motor Corporation (TM.BA),ARS,01 ene 2022,"7500,00","9150,00","7500,00","8860,00","8859,08",5805,-
Toyota Motor Corporation (TM.BA),ARS,01 dic 2021,"7600,00","8200,00","7159,00","7450,00","7449,22",6702,-
Toyota Motor Corporation (TM.BA),ARS,01 nov 2021,"7428,50","8400,00","7400,00","7618,50","7617,71",9953,-
Toyota Motor Corporation (TM.BA),ARS,01 oct 2021,"7000,00","7382,00","6300,00","7356,00","7355,23",9171,-
Toyota Motor Corporation (TM.BA),ARS,29 sept 2021,-,-,-,-,-,-,0.41958 Dividendo
Toyota Motor Corporation (TM.BA),ARS,01 sept 2021,"6229,00","7850,00","6180,00","6852,00","6850,89",13.713,-
Toyota Motor Corporation (TM.BA),ARS,01 ago 2021,"6637,00","6792,50","5886,00","6190,00","6188,99",9749,-
Toyota Motor Corporation (TM.BA),ARS,01 jul 2021,"6250,00","6699,50","5970,00","6548,00","6546,94",21.875,-
Toyota Motor Corporation (TM.BA),ARS,01 jun 2021,"5747,00","6350,00","5718,00","6030,50","6029,52",13.325,-
